user_id,film_id,rating,rated_at
1,4620,7,2024-09-03T12:55:00
1,172235,5,2024-04-11T05:04:00
1,155493,9,2023-09-17T06:57:00
1,122741,6,2024-12-27T20:52:00
1,174739,3,2023-02-05T08:12:00
1,5799,3,2023-11-03T05:49:00
1,90947,8,2024-10-25T18:28:00
1,26119,10,2024-11-11T04:28:00
1,118788,2,2024-08-21T09:50:00
1,188659,5,2023-06-17T02:19:00
1,180911,8,2024-01-02T11:53:00
1,3242,5,2023-11-28T02:39:00
1,187611,10,2024-08-19T17:50:00
1,187189,1,2024-10-21T06:20:00
1,27731,10,2024-09-05T01:28:00
1,45642,2,2024-12-03T16:41:00
1,134053,3,2023-04-23T14:28:00
1,71936,9,2023-06-12T09:24:00
1,177745,7,2024-11-20T01:50:00
1,4205,6,2023-06-04T17:43:00
1,32625,7,2024-05-24T21:58:00
1,123735,10,2023-06-03T18:42:00
1,204928,3,2024-05-21T22:42:00
1,146090,7,2023-10-23T02:19:00
1,168214,9,2024-11-26T10:52:00
1,1030,3,2023-11-22T13:32:00
1,96306,6,2023-06-10T05:13:00
1,160684,6,2024-04-08T04:09:00
1,2540,2,2024-02-17T17:53:00
1,172783,9,2023-11-11T19:08:00
1,181287,10,2024-03-06T05:53:00
1,194416,10,2023-12-15T01:26:00
1,133535,6,2023-08-20T09:48:00
1,65780,8,2023-09-08T09:51:00
1,146188,8,2023-06-22T18:28:00
1,154067,8,2024-07-17T16:26:00
1,194254,3,2023-10-05T08:03:00
1,206010,8,2024-09-04T22:54:00
1,113492,9,2023-05-03T05:17:00
1,180569,8,2023-07-03T07:52:00
1,3488,8,2024-01-14T01:25:00
1,196303,9,2024-04-13T02:23:00
1,114642,4,2023-06-04T22:41:00
1,77414,6,2023-03-02T09:58:00
1,109203,8,2023-12-16T14:39:00
1,145875,1,2023-01-09T06:53:00
1,189225,3,2024-02-25T09:15:00
1,52448,5,2023-01-08T13:40:00
1,64897,10,2024-02-04T15:38:00
1,155304,9,2023-11-17T18:15:00
1,94727,3,2024-07-01T19:22:00
1,26181,4,2024-03-22T21:05:00
1,162668,9,2024-02-17T17:32:00
1,76082,9,2023-07-28T15:02:00
1,142895,7,2024-05-24T00:22:00
1,91201,2,2024-04-24T21:40:00
1,105952,2,2024-03-02T11:34:00
1,7283,6,2023-11-15T22:30:00
1,4305,3,2023-02-23T14:02:00
1,114429,5,2023-01-26T06:56:00
1,175319,1,2024-05-17T12:52:00
1,965,9,2024-05-02T20:12:00
1,98695,5,2024-01-28T20:21:00
1,2570,5,2023-06-14T12:47:00
1,169456,8,2024-06-06T15:44:00
1,197973,8,2024-09-09T02:46:00
1,61724,7,2023-07-20T05:34:00
1,2640,5,2024-02-03T10:42:00
1,177813,5,2024-08-20T22:27:00
1,99996,3,2024-06-15T01:46:00
1,3111,6,2024-05-21T01:04:00
1,145106,7,2024-09-26T23:43:00
1,178959,3,2023-03-28T19:43:00
1,72678,8,2023-03-03T07:49:00
1,175983,6,2024-07-19T01:38:00
1,63237,3,2024-06-12T14:48:00
1,55691,2,2023-09-12T12:20:00
1,84989,5,2023-02-01T23:11:00
1,95854,8,2024-09-04T08:49:00
1,62999,5,2024-04-20T09:44:00
1,197707,8,2023-02-05T02:28:00
1,160836,3,2024-02-26T21:54:00
1,33424,6,2024-12-03T17:34:00
1,116487,5,2024-03-23T22:59:00
1,92968,3,2024-09-08T03:12:00
1,109241,3,2023-08-01T11:35:00
1,78941,10,2024-08-26T17:08:00
1,100042,10,2023-02-10T12:45:00
1,61475,8,2024-07-27T18:04:00
1,39896,3,2024-11-03T14:29:00
1,87915,9,2024-03-27T17:40:00
1,194,10,2023-03-14T16:58:00
1,154454,1,2023-09-05T09:10:00
1,165253,3,2024-12-08T11:33:00
1,141279,5,2023-05-07T20:35:00
1,66773,5,2023-11-10T19:34:00
1,205120,2,2023-10-19T04:10:00
1,94314,10,2024-10-02T00:05:00
1,201176,1,2024-11-07T18:26:00
1,141524,10,2023-08-21T17:18:00
1,160444,5,2024-04-26T21:25:00
1,78442,5,2024-02-23T01:10:00
1,156919,8,2024-08-15T06:21:00
1,8387,10,2023-06-28T22:20:00
1,104843,6,2024-03-25T11:32:00
1,5544,9,2023-06-08T14:07:00
1,117877,5,2024-04-05T03:03:00
1,1029,5,2024-10-14T07:55:00
1,186279,3,2024-10-24T10:12:00
1,143689,3,2024-09-15T15:56:00
1,96110,5,2024-01-03T12:32:00
1,160374,8,2023-04-19T11:03:00
1,166171,1,2024-08-20T20:43:00
2,3483,6,2024-08-09T07:04:00
2,52922,4,2023-10-04T04:06:00
2,186511,3,2024-08-11T13:07:00
2,69830,9,2024-04-15T09:29:00
2,134214,5,2023-02-06T21:19:00
2,202455,10,2023-04-27T10:09:00
2,148994,2,2023-06-13T16:03:00
2,117312,5,2024-03-01T12:54:00
2,205120,8,2023-02-15T03:51:00
2,74431,3,2023-01-02T07:08:00
2,26641,4,2024-06-22T20:41:00
2,72910,2,2024-02-01T02:12:00
2,127847,8,2023-02-28T10:07:00
2,5612,1,2024-01-06T18:27:00
2,99739,7,2024-01-13T21:27:00
2,153424,3,2024-04-06T08:17:00
2,190769,8,2023-01-20T19:39:00
